"ENSG00000143632","ACTA1"
"ENSG00000075624","ACTB"
"ENSG00000159251","ACTC1"
"ENSG00000184009","ACTG1"
"ENSG00000163017","ACTG2"
"ENSG00000072110","ACTN1"
"ENSG00000077522","ACTN2"
"ENSG00000248746","ACTN3"
"ENSG00000130402","ACTN4"
"ENSG00000282844","ACTN4"
"ENSG00000143537","ADAM15"
"ENSG00000114948","ADAM23"
"ENSG00000168615","ADAM9"
"ENSG00000282230","ADAM9"
"ENSG00000154736","ADAMTS5"
"ENSG00000170214","ADRA1B"
"ENSG00000105221","AKT2"
"ENSG00000117020","AKT3"
"ENSG00000275199","AKT3"
"ENSG00000179593","ALOX15B"
"ENSG00000104899","AMH"
"ENSG00000181754","AMIGO1"
"ENSG00000139211","AMIGO2"
"ENSG00000129675","ARHGEF6"
"ENSG00000163466","ARPC2"
"ENSG00000105409","ATP1A3"
"ENSG00000086062","B4GALT1"
"ENSG00000175866","BAIAP2"
"ENSG00000168487","BMP1"
"ENSG00000175161","CADM2"
"ENSG00000162706","CADM3"
"ENSG00000172137","CALB2"
"ENSG00000282830","CALB2"
"ENSG00000131236","CAP1"
"ENSG00000090659","CD209"
"ENSG00000120217","CD274"
"ENSG00000103855","CD276"
"ENSG00000174059","CD34"
"ENSG00000114013","CD86"
"ENSG00000002586","CD99"
"ENSG00000039068","CDH1"
"ENSG00000140937","CDH11"
"ENSG00000129910","CDH15"
"ENSG00000062038","CDH3"
"ENSG00000179242","CDH4"
"ENSG00000280641","CDH4"
"ENSG00000113361","CDH6"
"ENSG00000150394","CDH8"
"ENSG00000132964","CDK8"
"ENSG00000137197","CDSN"
"ENSG00000204539","CDSN"
"ENSG00000206460","CDSN"
"ENSG00000237114","CDSN"
"ENSG00000237123","CDSN"
"ENSG00000237165","CDSN"
"ENSG00000167123","CERCAM"
"ENSG00000013297","CLDN11"
"ENSG00000159261","CLDN14"
"ENSG00000106404","CLDN15"
"ENSG00000066405","CLDN18"
"ENSG00000164007","CLDN19"
"ENSG00000189143","CLDN4"
"ENSG00000184113","CLDN5"
"ENSG00000184697","CLDN6"
"ENSG00000181885","CLDN7"
"ENSG00000156284","CLDN8"
"ENSG00000213937","CLDN9"
"ENSG00000064666","CNN2"
"ENSG00000018236","CNTN1"
"ENSG00000084636","COL16A1"
"ENSG00000065618","COL17A1"
"ENSG00000112280","COL9A1"
"ENSG00000095321","CRAT"
"ENSG00000130545","CRB3"
"ENSG00000044115","CTNNA1"
"ENSG00000198561","CTNND1"
"ENSG00000006210","CX3CL1"
"ENSG00000204560","DHX16"
"ENSG00000206486","DHX16"
"ENSG00000226171","DHX16"
"ENSG00000227222","DHX16"
"ENSG00000231377","DHX16"
"ENSG00000233049","DHX16"
"ENSG00000233418","DHX16"
"ENSG00000233561","DHX16"
"ENSG00000075711","DLG1"
"ENSG00000152592","DMP1"
"ENSG00000134765","DSC1"
"ENSG00000134762","DSC3"
"ENSG00000146648","EGFR"
"ENSG00000079819","EPB41L2"
"ENSG00000196405","EVL"
"ENSG00000131558","EXOC4"
"ENSG00000166147","FBN1"
"ENSG00000128591","FLNC"
"ENSG00000075618","FSCN1"
"ENSG00000082074","FYB"
"ENSG00000130005","GAMT"
"ENSG00000127955","GNAI1"
"ENSG00000114353","GNAI2"
"ENSG00000141738","GRB7"
"ENSG00000125651","GTF2F1"
"ENSG00000138796","HADH"
"ENSG00000174775","HRAS"
"ENSG00000276536","HRAS"
"ENSG00000090339","ICAM1"
"ENSG00000108622","ICAM2"
"ENSG00000105371","ICAM4"
"ENSG00000105376","ICAM5"
"ENSG00000269335","IKBKG"
"ENSG00000165458","INPPL1"
"ENSG00000186480","INSIG1"
"ENSG00000169047","IRS1"
"ENSG00000143127","ITGA10"
"ENSG00000164171","ITGA2"
"ENSG00000005884","ITGA3"
"ENSG00000144668","ITGA9"
"ENSG00000150093","ITGB1"
"ENSG00000132470","ITGB4"
"ENSG00000166086","JAM3"
"ENSG00000173801","JUP"
"ENSG00000055118","KCNH2"
"ENSG00000094796","KRT31"
"ENSG00000262993","KRT31"
"ENSG00000053747","LAMA3"
"ENSG00000196878","LAMB3"
"ENSG00000058085","LAMC2"
"ENSG00000204381","LAYN"
"ENSG00000157978","LDLRAP1"
"ENSG00000050405","LIMA1"
"ENSG00000099866","MADCAM1"
"ENSG00000168067","MAP4K2"
"ENSG00000185386","MAPK11"
"ENSG00000156711","MAPK13"
"ENSG00000112062","MAPK14"
"ENSG00000110492","MDK"
"ENSG00000087245","MMP2"
"ENSG00000100985","MMP9"
"ENSG00000072415","MPP5"
"ENSG00000197965","MPZL1"
"ENSG00000149573","MPZL2"
"ENSG00000147065","MSN"
"ENSG00000167508","MVD"
"ENSG00000133026","MYH10"
"ENSG00000100345","MYH9"
"ENSG00000118680","MYL12B"
"ENSG00000101335","MYL9"
"ENSG00000172260","NEGR1"
"ENSG00000162614","NEXN"
"ENSG00000196712","NF1"
"ENSG00000186575","NF2"
"ENSG00000163531","NFASC"
"ENSG00000169992","NLGN2"
"ENSG00000196338","NLGN3"
"ENSG00000197893","NRAP"
"ENSG00000171119","NRTN"
"ENSG00000110076","NRXN2"
"ENSG00000178184","PARD6G"
"ENSG00000197702","PARVA"
"ENSG00000204304","PBX2"
"ENSG00000206315","PBX2"
"ENSG00000224952","PBX2"
"ENSG00000225987","PBX2"
"ENSG00000232005","PBX2"
"ENSG00000236353","PBX2"
"ENSG00000237344","PBX2"
"ENSG00000156453","PCDH1"
"ENSG00000172367","PDZD3"
"ENSG00000261371","PECAM1"
"ENSG00000108518","PFN1"
"ENSG00000051382","PIK3CB"
"ENSG00000117461","PIK3R3"
"ENSG00000008710","PKD1"
"ENSG00000124181","PLCG1"
"ENSG00000074211","PPP2R2C"
"ENSG00000171862","PTEN"
"ENSG00000283094","PTEN"
"ENSG00000169398","PTK2"
"ENSG00000081237","PTPRC"
"ENSG00000262418","PTPRC"
"ENSG00000128340","RAC2"
"ENSG00000145715","RASA1"
"ENSG00000139725","RHOF"
"ENSG00000126458","RRAS"
"ENSG00000148484","RSU1"
"ENSG00000162512","SDC3"
"ENSG00000127990","SGCE"
"ENSG00000160691","SHC1"
"ENSG00000146950","SHROOM2"
"ENSG00000198053","SIRPA"
"ENSG00000005020","SKAP2"
"ENSG00000115194","SLC30A3"
"ENSG00000145147","SLIT2"
"ENSG00000120896","SORBS3"
"ENSG00000072195","SPEG"
"ENSG00000197122","SRC"
"ENSG00000103496","STX4"
"ENSG00000165025","SYK"
"ENSG00000125755","SYMPK"
"ENSG00000149930","TAOK2"
"ENSG00000120708","TGFBI"
"ENSG00000169231","THBS3"
"ENSG00000154096","THY1"
"ENSG00000151923","TIAL1"
"ENSG00000104067","TJP1"
"ENSG00000277401","TJP1"
"ENSG00000137103","TMEM8B"
"ENSG00000164761","TNFRSF11B"
"ENSG00000056558","TRAF1"
"ENSG00000067445","TRO"
"ENSG00000165699","TSC1"
"ENSG00000214063","TSPAN4"
"ENSG00000131462","TUBG1"
"ENSG00000125753","VASP"
"ENSG00000160293","VAV2"
"ENSG00000162692","VCAM1"
"ENSG00000038427","VCAN"
"ENSG00000035403","VCL"
"ENSG00000110799","VWF"
"ENSG00000106299","WASL"
"ENSG00000126562","WNK4"
"ENSG00000128245","YWHAH"
"ENSG00000159840","ZYX"
